COREF,start_token,end_token,prop,cat,text
276,582,584,NOM,FAC,The football field
12,592,592,PROP,GPE,Boyer
7,594,594,PROP,GPE,Missouri
0,596,596,PRON,PER,My
277,596,604,NOM,GPE,"My hometown , which barely boasted two thousand people"
278,602,604,NOM,PER,two thousand people
278,611,611,PRON,PER,they
279,615,616,NOM,FAC,the facility
280,618,621,NOM,GPE,The city of Boyer
281,626,631,NOM,FAC,a half - dozen trailer parks
282,633,635,NOM,FAC,an electronics factory
283,638,639,NOM,FAC,five churches
276,642,644,NOM,FAC,the football field
285,649,651,NOM,PER,The maintenance staff
286,671,673,NOM,FAC,the locker rooms
287,686,692,NOM,FAC,The crumbling structure of Boyer High School
13,690,692,PROP,FAC,Boyer High School
288,695,697,NOM,FAC,the parking lot
289,704,707,NOM,PER,3 Us track poseurs
290,715,717,NOM,FAC,the sacred field
291,722,724,NOM,PER,the football heroes
290,729,729,PRON,FAC,it
292,734,734,PRON,PER,we
288,740,742,NOM,FAC,the parking lot
109,744,746,PROP,PER,the Boyer Bears
292,751,751,PRON,PER,we
294,756,758,NOM,PER,the marching band
295,762,762,PRON,PER,you
292,767,767,PRON,PER,we
296,770,773,NOM,FAC,the school food chain
0,781,781,PRON,PER,My
297,781,782,NOM,PER,My friend
110,783,784,PROP,PER,Jack Seversen
0,786,786,PRON,PER,I
0,811,811,PRON,PER,my
0,818,818,PRON,PER,me
0,831,831,PRON,PER,I
0,848,848,PRON,PER,You
108,851,851,PROP,PER,Logan
110,855,855,PROP,PER,Jack
0,860,860,PRON,PER,me
110,864,864,PRON,PER,he
0,870,870,PRON,PER,I
110,873,873,PRON,PER,he
110,888,888,PROP,PER,Jack
0,890,890,PRON,PER,me
110,910,910,PRON,PER,him
110,928,928,PRON,PER,He
110,930,930,PRON,PER,his
276,936,938,NOM,FAC,the football field
299,940,942,NOM,PER,The Boyer cheerleaders
299,946,946,PRON,PER,their
0,949,949,PRON,PER,I
300,954,955,NOM,GPE,bigger towns
301,958,962,NOM,PER,"the pretty , graceful girls"
302,964,965,NOM,PER,the squads
12,968,968,PROP,GPE,Boyer
303,971,977,NOM,PER,a student body of about two hundred
110,998,998,PROP,PER,Jack
0,1000,1000,PRON,PER,I
0,1006,1006,PRON,PER,I
0,1014,1014,PRON,PER,my
297,1014,1015,NOM,PER,my friend
297,1025,1025,PRON,PER,his
297,1027,1027,PRON,PER,his
297,1030,1030,PRON,PER,He
297,1039,1039,PRON,PER,he
0,1044,1044,PRON,PER,me
297,1049,1049,PRON,PER,his
305,1056,1056,PRON,PER,their
110,1065,1065,PROP,PER,Jack
306,1072,1073,NOM,PER,serial killers
307,1075,1076,NOM,PER,car salesmen
0,1079,1079,PRON,PER,You
111,1084,1084,PROP,PER,Tanya
111,1086,1086,PRON,PER,She
0,1088,1088,PRON,PER,you
0,1095,1095,PRON,PER,I
308,1099,1100,NOM,PER,the squad
0,1102,1102,PRON,PER,I
111,1107,1107,PROP,PER,Tanya
111,1111,1111,PRON,PER,she
309,1116,1117,NOM,PER,the others
111,1124,1124,PRON,PER,she
111,1128,1128,PRON,PER,herself
0,1132,1132,PRON,PER,I
12,1140,1140,PROP,GPE,Boyer
310,1142,1142,PRON,PER,you
310,1145,1145,PRON,PER,your
311,1145,1146,NOM,PER,your classmates
111,1151,1151,PROP,PER,Tanya
312,1154,1156,NOM,PER,the fat girl
111,1166,1166,PRON,PER,her
111,1172,1172,PRON,PER,her
111,1175,1175,PRON,PER,She
111,1183,1183,PRON,PER,she
108,1196,1196,PROP,PER,Logan
111,1201,1201,PRON,PER,me
108,1202,1202,PRON,PER,you
108,1208,1208,PRON,PER,your
111,1211,1211,PRON,PER,her
0,1219,1219,PRON,PER,I
110,1228,1228,PROP,PER,Jack
0,1231,1231,PRON,PER,I
0,1239,1239,PRON,PER,my
0,1244,1244,PRON,PER,my
313,1244,1246,NOM,VEH,my old bike
110,1248,1248,PROP,PER,Jack
0,1250,1250,PRON,PER,me
0,1260,1260,PRON,PER,my
2251,1264,1264,NOM,PER,Dude
0,1277,1277,PRON,PER,I
110,1288,1288,PRON,PER,He
108,1295,1295,PRON,PER,You
2252,1297,1298,NOM,PER,a senior
108,1300,1300,PROP,PER,Logan
316,1305,1305,PRON,PER,we
2253,1307,1308,NOM,GPE,this place
108,1314,1314,PRON,PER,your
108,1319,1319,PRON,PER,your
2254,1319,1322,NOM,PER,your ex - girlfriend
0,1325,1325,PRON,PER,I
314,1328,1329,NOM,FAC,the gymnasium
315,1331,1342,NOM,FAC,a blocky building that we shared with the middle school next door
316,1335,1335,PRON,PER,we
317,1338,1342,NOM,FAC,the middle school next door
0,1344,1344,PRON,PER,I
0,1347,1347,PRON,PER,I
318,1351,1353,NOM,FAC,the locker room
0,1356,1356,PRON,PER,I
0,1358,1358,PRON,PER,my
319,1369,1371,NOM,FAC,the empty room
0,1376,1376,PRON,PER,my
110,1381,1381,PROP,PER,Jack
110,1383,1383,PRON,PER,he
110,1388,1388,PRON,PER,He
112,1390,1390,PROP,PER,Brenda
320,1395,1396,NOM,PER,another girl
110,1403,1403,PRON,PER,he
0,1409,1409,PRON,PER,me
110,1413,1413,PRON,PER,him
0,1416,1416,PRON,PER,I
321,1424,1426,NOM,PER,some random chick
0,1428,1428,PRON,PER,I
112,1433,1433,PROP,PER,Brenda
0,1436,1436,PRON,PER,me
112,1443,1443,PRON,PER,she
0,1447,1447,PRON,PER,me
112,1451,1451,PRON,PER,her
322,1456,1468,NOM,PER,another guy that had put the strain on our three - year relationship
323,1464,1464,PRON,PER,our
0,1470,1470,PRON,PER,I
0,1486,1486,PRON,PER,I
112,1489,1489,PROP,PER,Brenda
0,1500,1500,PRON,PER,I
0,1503,1503,PRON,PER,my
112,1511,1511,PRON,PER,her
14,1519,1519,PROP,GPE,Columbia
0,1522,1522,PRON,PER,my
0,1525,1525,PRON,PER,I
0,1534,1534,PRON,PER,My
0,1542,1542,PRON,PER,my
0,1548,1548,PRON,PER,my
0,1554,1554,PRON,PER,my
0,1561,1561,PRON,PER,I
0,1564,1564,PRON,PER,I
0,1572,1572,PRON,PER,my
324,1572,1573,NOM,PER,my mom
0,1577,1577,PRON,PER,I
325,1580,1584,NOM,PER,some Mafia don ’s bodyguard
326,1586,1590,NOM,PER,a muscle - bound lummox
327,1600,1601,NOM,PER,sophisticated people
112,1603,1603,PROP,PER,Brenda
0,1606,1606,PRON,PER,me
0,1607,1607,PRON,PER,I
328,1612,1615,NOM,PER,a James Bond supervillain
112,1617,1617,PRON,PER,She
0,1620,1620,PRON,PER,I
329,1625,1632,NOM,PER,an angel and the body of a god
0,1634,1634,PRON,PER,I
112,1638,1638,PRON,PER,she
112,1646,1646,PROP,PER,Brenda
330,1652,1659,NOM,PER,someone you ’d see on a movie poster
112,1661,1661,PRON,PER,Her
331,1669,1671,NOM,FAC,the local salon
112,1673,1673,PRON,PER,She
112,1678,1678,PRON,PER,her
112,1684,1684,PRON,PER,her
332,1687,1687,NOM,FAC,home
112,1693,1693,PRON,PER,she
112,1698,1698,PRON,PER,Her
112,1704,1704,PRON,PER,her
0,1709,1709,PRON,PER,I
112,1714,1714,PRON,PER,her
0,1719,1719,PRON,PER,I
0,1728,1728,PRON,PER,my
0,1732,1732,PRON,PER,my
0,1740,1740,PRON,PER,my
333,1748,1752,NOM,PER,dozens of guys in Boyer
12,1752,1752,PROP,GPE,Boyer
112,1754,1754,PROP,PER,Brenda
0,1757,1757,PRON,PER,me
0,1760,1760,PRON,PER,I
0,1773,1773,PRON,PER,I
0,1792,1792,PRON,PER,I
112,1795,1795,PRON,PER,her
0,1797,1797,PRON,PER,my
324,1797,1798,NOM,PER,my mom
335,1797,1800,NOM,FAC,my mom ’s car
336,1802,1809,NOM,LOC,the empty field out by the water tower
337,1807,1809,NOM,FAC,the water tower
0,1811,1811,PRON,PER,I
0,1815,1815,PRON,PER,I
0,1822,1822,PRON,PER,I
0,1829,1829,PRON,PER,I
112,1837,1837,PRON,PER,her
0,1845,1845,PRON,PER,I
15,1853,1853,PROP,GPE,Moberly
338,1858,1858,PRON,PER,We
112,1867,1867,PROP,PER,Brenda
0,1870,1870,PRON,PER,me
112,1873,1873,PRON,PER,her
332,1874,1874,NOM,FAC,home
0,1876,1876,PRON,PER,I
112,1883,1883,PRON,PER,she
0,1885,1885,PRON,PER,me
338,1887,1887,PRON,PER,we
112,1890,1890,PRON,PER,her
340,1890,1891,NOM,FAC,her driveway
108,1895,1895,PROP,PER,Logan
0,1897,1897,PRON,PER,I
338,1906,1906,PRON,PER,we
0,1923,1923,PRON,PER,I
0,1934,1934,PRON,PER,my
0,1937,1937,PRON,PER,I
112,1945,1945,PROP,PER,Brenda
0,1947,1947,PRON,PER,I
0,1950,1950,PRON,PER,I
341,1954,1954,NOM,FAC,there
2255,1960,1960,NOM,PER,Mom
0,1962,1962,PRON,PER,I
332,1964,1964,NOM,FAC,home
0,1972,1972,PRON,PER,me
342,1977,1977,PRON,PER,you
343,1980,1984,NOM,FAC,a single - wide trailer
344,1991,1991,NOM,PER,someone
345,1998,1999,NOM,FAC,mobile homes
338,2008,2008,PRON,PER,We
346,2011,2014,NOM,LOC,an acre of land
0,2017,2017,PRON,PER,I
113,2022,2022,PROP,PER,Whoever
347,2025,2026,NOM,FAC,the lot
338,2028,2028,PRON,PER,us
348,2031,2033,NOM,FAC,a nice outbuilding
0,2035,2035,PRON,PER,I
0,2037,2037,PRON,PER,my
0,2045,2045,PRON,PER,my
0,2061,2061,PRON,PER,I
349,2075,2075,NOM,FAC,driveways
0,2077,2077,PRON,PER,I
114,2079,2079,PROP,PER,Mom
338,2081,2081,PRON,PER,our
350,2081,2088,NOM,FAC,our living room / dining room / kitchen
351,2088,2088,NOM,FAC,kitchen
114,2090,2090,PRON,PER,She
114,2095,2095,PRON,PER,her
16,2106,2108,PROP,FAC,Ron ’s Grill
109,2110,2110,PROP,PER,Boyer
352,2110,2114,NOM,FAC,Boyer ’s only nonchain restaurant
353,2113,2114,NOM,FAC,nonchain restaurant
0,2119,2119,PRON,PER,I
0,2123,2123,PRON,PER,my
354,2123,2124,NOM,PER,my mother
114,2140,2140,PRON,PER,her
114,2147,2147,PROP,PER,Mom
114,2150,2150,PRON,PER,she
0,2152,2152,PRON,PER,me
2257,2158,2158,NOM,PER,honey
0,2165,2165,PRON,PER,I
114,2186,2186,PRON,PER,She
0,2190,2190,PRON,PER,I
114,2201,2201,PRON,PER,she
0,2205,2205,PRON,PER,I
114,2209,2209,PRON,PER,her
114,2217,2217,PRON,PER,I
108,2221,2221,PROP,PER,Logan
2258,2223,2223,PRON,PER,They
115,2228,2228,PROP,PER,Dori
114,2236,2236,PRON,PER,She
355,2242,2242,PRON,PER,We
0,2249,2249,PRON,PER,I
355,2256,2256,PRON,PER,we
0,2264,2264,PRON,PER,I
116,2271,2271,PROP,PER,Dad
355,2275,2275,PRON,PER,our
356,2275,2277,NOM,FAC,our gravel driveway
357,2281,2286,NOM,LOC,the green pastures of New Mexico
17,2285,2286,PROP,GPE,New Mexico
18,2288,2288,PROP,GPE,Utah
0,2293,2293,PRON,PER,I
355,2297,2297,PRON,PER,we
116,2305,2305,PROP,PER,Dad
114,2308,2308,PROP,PER,Mom
0,2312,2312,PRON,PER,me
0,2314,2314,PRON,PER,my
358,2314,2316,NOM,PER,my older sister
117,2318,2318,PROP,PER,Laura
114,2325,2325,PROP,PER,Mom
114,2328,2328,PRON,PER,her
0,2333,2333,PRON,PER,you
0,2340,2340,PRON,PER,I
114,2359,2359,PRON,PER,her
359,2385,2391,NOM,FAC,the dirt roads that ran around Boyer
12,2391,2391,PROP,GPE,Boyer
360,2399,2399,NOM,PER,people
360,2401,2401,PRON,PER,their
361,2401,2402,NOM,FAC,their homes
0,2408,2408,PRON,PER,I
349,2414,2414,NOM,FAC,driveways
0,2417,2417,PRON,PER,I
0,2433,2433,PRON,PER,me
0,2434,2434,PRON,PER,my
114,2438,2438,PROP,PER,Mom
363,2442,2445,NOM,PER,most guys my age
0,2444,2444,PRON,PER,my
0,2463,2463,PRON,PER,I
0,2467,2467,PRON,PER,I
0,2480,2480,PRON,PER,I
114,2484,2484,PROP,PER,Mom
114,2489,2489,PRON,PER,her
0,2494,2494,PRON,PER,w
114,2501,2501,PROP,PER,Mom
114,2504,2504,PRON,PER,her
114,2509,2509,PRON,PER,I
0,2511,2511,PRON,PER,you
114,2515,2515,PRON,PER,I
0,2519,2519,PRON,PER,I
114,2521,2521,PRON,PER,her
0,2525,2525,PRON,PER,You
0,2532,2532,PRON,PER,me
114,2546,2546,PROP,PER,Mom
0,2550,2550,PRON,PER,me
0,2560,2560,PRON,PER,I
114,2562,2562,PRON,PER,she
0,2567,2567,PRON,PER,me
0,2573,2573,PRON,PER,me
114,2583,2583,PRON,PER,She
114,2585,2585,PRON,PER,her
2259,2597,2598,NOM,PER,no girls
2260,2600,2601,NOM,FAC,the house
114,2604,2604,PRON,PER,She
0,2610,2610,PRON,PER,I
114,2614,2614,PROP,PER,Mom
114,2624,2624,PRON,PER,she
112,2626,2626,PROP,PER,Brenda
110,2632,2632,PROP,PER,Jack
114,2634,2634,PRON,PER,she
0,2637,2637,PRON,PER,I
0,2644,2644,PRON,PER,I
112,2647,2647,PROP,PER,Brenda
364,2649,2649,PRON,PER,our
0,2656,2656,PRON,PER,I
0,2662,2662,PRON,PER,I
365,2667,2668,NOM,PER,someone else
271,2673,2673,NOM,PER,everyone
271,2676,2676,NOM,PER,Everyone
0,2678,2678,PRON,PER,me
0,2680,2680,PRON,PER,I
0,2708,2708,PRON,PER,I
0,2726,2726,PRON,PER,I
0,2736,2736,PRON,PER,I
0,2750,2750,PRON,PER,I
368,2754,2755,NOM,VEH,a car
0,2758,2758,PRON,PER,I
19,2765,2766,PROP,FAC,Mr. Pizza
369,2772,2776,NOM,FAC,the main drag in Boyer
12,2776,2776,PROP,GPE,Boyer
0,2778,2778,PRON,PER,I
14,2784,2784,PROP,GPE,Columbia
370,2786,2793,NOM,GPE,the only sizable city within a hundred miles
0,2796,2796,PRON,PER,I
371,2803,2804,NOM,FAC,a garage
372,2811,2815,NOM,PER,other people in this town
373,2814,2815,NOM,GPE,this town
0,2817,2817,PRON,PER,I
117,2819,2819,PROP,PER,Laura
332,2823,2823,NOM,FAC,home
117,2825,2825,PRON,PER,She
117,2834,2834,PRON,PER,she
375,2837,2838,NOM,FAC,the bathroom
376,2840,2840,PRON,PER,We
117,2860,2860,PRON,PER,she
20,2865,2870,PROP,FAC,the University of Missouri in Columbia
7,2868,2868,PROP,GPE,Missouri
14,2870,2870,PROP,GPE,Columbia
0,2877,2877,PRON,PER,me
117,2879,2879,PRON,PER,she
0,2882,2882,PRON,PER,I
117,2884,2884,PRON,PER,her
0,2887,2887,PRON,PER,I
112,2890,2890,PROP,PER,Brenda
0,2892,2892,PRON,PER,I
0,2894,2894,PRON,PER,I
112,2898,2898,PROP,PER,Brenda
0,2902,2902,PRON,PER,I
110,2904,2904,PROP,PER,jack
0,2910,2910,PRON,PER,I
0,2917,2917,PRON,PER,I
112,2927,2927,PROP,PER,Brenda
0,2929,2929,PRON,PER,I
2261,2933,2936,NOM,LOC,“ downtown ” Boyer
2262,2934,2935,NOM,GPE,downtown ”
12,2936,2936,PROP,GPE,Boyer
377,2945,2946,NOM,PER,the mayor
118,2948,2948,PROP,PER,aidermen
378,2950,2956,NOM,VEH,some not - quite - classic cars
119,2965,2966,PROP,PER,Louie Louie
379,2973,2975,NOM,PER,an unshaven clown
0,2979,2979,PRON,PER,I
112,2982,2982,PROP,PER,Brenda
380,2984,2985,NOM,FAC,the trailer
114,2989,2989,PROP,PER,Mom
0,2998,2998,PRON,PER,I
0,3009,3009,PRON,PER,I
0,3013,3013,PRON,PER,my
117,3025,3025,PROP,PER,Laura
332,3030,3030,NOM,FAC,home
117,3033,3033,PRON,PER,She
112,3038,3038,PROP,PER,Brenda
0,3042,3042,PRON,PER,My
382,3042,3043,NOM,PER,My girlfriend
0,3054,3054,PRON,PER,my
383,3054,3056,NOM,PER,my extroverted sister
382,3062,3062,PRON,PER,She
117,3075,3075,PROP,PER,Laura
110,3077,3077,PROP,PER,Jack
0,3080,3080,PRON,PER,my
384,3080,3081,NOM,PER,my sister
0,3089,3089,PRON,PER,I
112,3091,3091,PROP,PER,Brenda
112,3093,3093,PRON,PER,she
385,3101,3101,PRON,PER,We
385,3107,3107,PRON,PER,we
386,3110,3113,NOM,FAC,the dusty gravel road
385,3117,3117,PRON,PER,our
387,3117,3118,NOM,FAC,our lot
112,3120,3120,PRON,PER,She
0,3129,3129,PRON,PER,I
112,3132,3132,PRON,PER,her
112,3134,3134,PRON,PER,Her
112,3161,3161,PRON,PER,her
112,3170,3170,PRON,PER,her
0,3173,3173,PRON,PER,I
385,3176,3176,PRON,PER,we
21,3181,3182,PROP,FAC,Scott Henderson
388,3181,3185,NOM,FAC,Scott Henderson ’s 11 cornfield
385,3190,3190,PRON,PER,we
385,3204,3204,PRON,PER,us
272,3209,3209,NOM,PER,anyone
0,3211,3211,PRON,PER,I
112,3216,3216,PROP,PER,Brenda
112,3218,3218,PRON,PER,she
112,3227,3227,PRON,PER,she
0,3232,3232,PRON,PER,me
112,3235,3235,PRON,PER,her
0,3238,3238,PRON,PER,my
0,3241,3241,PRON,PER,I
112,3249,3249,PRON,PER,She
112,3261,3261,PRON,PER,she
0,3265,3265,PRON,PER,I
112,3272,3272,PRON,PER,her
112,3276,3276,PROP,PER,Brenda
112,3283,3283,PROP,PER,Brenda
112,3288,3288,PRON,PER,her
0,3292,3292,PRON,PER,me
108,3300,3300,PROP,PER,Logan
112,3309,3309,PRON,PER,I
385,3318,3318,PRON,PER,we
380,3322,3323,NOM,FAC,the trailer
0,3325,3325,PRON,PER,I
112,3332,3332,PROP,PER,Brenda
112,3337,3337,PRON,PER,she
391,3344,3347,NOM,PER,a boyfriend like me
0,3347,3347,PRON,PER,me
0,3349,3349,PRON,PER,I
0,3364,3364,PRON,PER,I
392,3370,3372,NOM,FAC,the school commons
0,3375,3375,PRON,PER,my
393,3375,3378,NOM,PER,my few dozen classmates
394,3392,3399,NOM,PER,the twelve students of the Class of 1939
395,3396,3399,NOM,PER,the Class of 1939
396,3402,3402,PRON,PER,you
396,3407,3407,PRON,PER,you
396,3413,3413,PRON,PER,your
397,3413,3414,NOM,PER,your teachers
396,3416,3416,PRON,PER,your
398,3416,3418,NOM,PER,your older siblings
396,3421,3421,PRON,PER,your
399,3421,3422,NOM,PER,your parents
0,3436,3436,PRON,PER,I
0,3443,3443,PRON,PER,my
400,3443,3444,NOM,PER,my father
401,3446,3450,NOM,VEH,The second of three buses
402,3449,3450,NOM,VEH,three buses
403,3454,3455,NOM,FAC,the school
404,3460,3460,NOM,PER,students
0,3462,3462,PRON,PER,I
404,3464,3464,PRON,PER,them
405,3468,3481,NOM,PER,"the eighth graders who , due to space limitations in the neighboring middle school"
406,3478,3481,NOM,FAC,the neighboring middle school
407,3486,3486,PRON,PER,our
408,3486,3487,NOM,FAC,our building
0,3489,3489,PRON,PER,I
404,3494,3494,PRON,PER,them
409,3498,3500,NOM,PER,The same people
409,3506,3506,PRON,PER,their
410,3506,3507,NOM,PER,their kids
411,3511,3511,NOM,FAC,here
0,3513,3513,PRON,PER,I
0,3517,3517,PRON,PER,I
0,3525,3525,PRON,PER,I
0,3532,3532,PRON,PER,I
12,3537,3537,PROP,GPE,Boyer
0,3543,3543,PRON,PER,I
0,3562,3562,PRON,PER,I
112,3570,3570,PROP,PER,Brenda
407,3572,3572,PRON,PER,We
22,3578,3578,PROP,GPE,MU
112,3582,3582,PRON,PER,she
0,3587,3587,PRON,PER,I
412,3594,3594,NOM,GPE,town
14,3600,3600,PROP,GPE,Columbia
0,3605,3605,PRON,PER,I
332,3610,3610,NOM,FAC,home
0,3613,3613,PRON,PER,You
0,3617,3617,PRON,PER,yourself
0,3621,3621,PRON,PER,you
120,3625,3626,PROP,PER,Tim Tokugowa
0,3629,3629,PRON,PER,my
120,3636,3636,PRON,PER,He
414,3638,3643,NOM,PER,the only Asian student at Boyer
12,3643,3643,PROP,GPE,Boyer
415,3650,3654,NOM,PER,a couple of Mexican kids
416,3653,3654,NOM,PER,Mexican kids
120,3656,3656,PRON,PER,he
417,3658,3660,NOM,PER,the only minority
120,3665,3665,PRON,PER,he
120,3667,3667,PRON,PER,he
120,3674,3674,PRON,PER,he
121,3681,3685,PROP,PER,"the clean , hardworking Japanese"
120,3687,3687,PROP,PER,Tim
418,3703,3703,PRON,PER,you
418,3706,3706,PRON,PER,you
120,3711,3711,PRON,PER,he
418,3717,3717,PRON,PER,you
120,3722,3722,PROP,PER,Tim
120,3737,3737,PRON,PER,His
0,3743,3743,PRON,PER,I
120,3746,3746,PRON,PER,him
120,3763,3763,PRON,PER,he
120,3776,3776,PRON,PER,He
120,3778,3778,PRON,PER,his
0,3786,3786,PRON,PER,me
120,3791,3791,PROP,PER,Tim
120,3794,3794,PRON,PER,you
120,3803,3803,PROP,PER,Tim
0,3810,3810,PRON,PER,me
120,3812,3812,PRON,PER,his
120,3817,3817,PRON,PER,He
120,3837,3837,PRON,PER,his
120,3841,3841,PRON,PER,You
112,3845,3845,PROP,PER,Brenda
2263,3845,3847,NOM,VEH,Brenda ’s bus
120,3851,3851,PRON,PER,you
120,3854,3854,PROP,PER,Tim
0,3858,3858,PRON,PER,me
419,3873,3876,NOM,PER,the Boyer debate coach
120,3879,3879,PROP,PER,Tim
420,3882,3884,NOM,PER,the forensics team
120,3896,3896,PRON,PER,you
120,3899,3899,PRON,PER,You
0,3916,3916,PRON,PER,I
120,3931,3931,PROP,PER,Tim
0,3943,3943,PRON,PER,I
0,3949,3949,PRON,PER,I
0,3953,3953,PRON,PER,I
0,3956,3956,PRON,PER,myself
0,3957,3957,PRON,PER,I
112,3964,3964,PROP,PER,Brenda
108,3974,3974,PROP,PER,Logan
0,3976,3976,PRON,PER,I
112,3978,3978,PRON,PER,she
108,3980,3980,PRON,PER,you
108,3983,3983,PRON,PER,you
411,3987,3987,NOM,FAC,here
112,3992,3992,PRON,PER,her
0,3995,3995,PRON,PER,I
120,3997,3997,PROP,PER,Tim
120,3999,3999,PRON,PER,his
0,4004,4004,PRON,PER,I
110,4006,4006,PROP,PER,Jack
0,4013,4013,PRON,PER,I
110,4018,4018,PRON,PER,I
0,4031,4031,PRON,PER,I
112,4034,4034,PROP,PER,Brenda
112,4038,4038,PROP,PER,Brenda
112,4044,4044,PRON,PER,She
421,4052,4053,NOM,PER,most guys
112,4058,4058,PRON,PER,she
112,4077,4077,PRON,PER,she
0,4081,4081,PRON,PER,me
0,4088,4088,PRON,PER,I
0,4092,4092,PRON,PER,my
112,4097,4097,PRON,PER,she
112,4118,4118,PRON,PER,she
0,4131,4131,PRON,PER,I
112,4134,4134,PRON,PER,her
0,4136,4136,PRON,PER,I
112,4138,4138,PRON,PER,she
0,4149,4149,PRON,PER,I
112,4153,4153,PRON,PER,her
112,4159,4159,PRON,PER,she
422,4162,4163,NOM,VEH,the bus
112,4165,4165,PRON,PER,she
0,4170,4170,PRON,PER,me
0,4173,4173,PRON,PER,me
112,4187,4187,PRON,PER,She
0,4189,4189,PRON,PER,me
423,4192,4193,NOM,PER,a king
424,4195,4196,NOM,PER,A god
112,4201,4201,PRON,PER,she
0,4205,4205,PRON,PER,me
0,4211,4211,PRON,PER,I
112,4217,4217,PRON,PER,her
0,4228,4228,PRON,PER,I
112,4238,4238,PRON,PER,her
112,4242,4242,PRON,PER,she
0,4251,4251,PRON,PER,me
112,4253,4253,PROP,PER,Brenda
425,4256,4257,NOM,FAC,the lobby
0,4262,4262,PRON,PER,my
112,4267,4267,PRON,PER,she
112,4274,4274,PRON,PER,her
426,4274,4275,NOM,PER,her ex
112,4281,4281,PRON,PER,she
0,4286,4286,PRON,PER,me
108,4289,4289,PROP,PER,Logan
108,4292,4292,PRON,PER,your
120,4297,4297,PROP,PER,Tim
120,4299,4299,PRON,PER,his
0,4303,4303,PRON,PER,I
120,4306,4306,PRON,PER,him
0,4309,4309,PRON,PER,I
120,4315,4315,PRON,PER,He
120,4317,4317,PRON,PER,his
120,4332,4332,PRON,PER,he
120,4338,4338,PRON,PER,his
427,4342,4342,PRON,PER,we
428,4345,4347,NOM,FAC,the biology lab
0,4354,4354,PRON,PER,me
0,4357,4357,PRON,PER,I
0,4365,4365,PRON,PER,I
122,4367,4368,PROP,PER,Mr. Elmer
0,4377,4377,PRON,PER,I
427,4379,4379,PRON,PER,we
120,4389,4389,PROP,PER,Tim
0,4391,4391,PRON,PER,I
427,4393,4393,PRON,PER,our
427,4396,4396,PRON,PER,our
0,4399,4399,PRON,PER,I
0,4404,4404,PRON,PER,my
0,4407,4407,PRON,PER,I
120,4413,4413,PROP,PER,Tim
429,4427,4429,NOM,PER,a new student
0,4434,4434,PRON,PER,me
429,4439,4441,NOM,PER,A new student
0,4446,4446,PRON,PER,I
431,4455,4459,NOM,PER,fifteen kids in my class
0,4458,4458,PRON,PER,my
432,4463,4464,NOM,FAC,the lab
0,4466,4466,PRON,PER,I
431,4470,4470,PRON,PER,them
0,4473,4473,PRON,PER,me
0,4481,4481,PRON,PER,I
433,4487,4491,NOM,PER,the same few dozen kids
404,4495,4495,NOM,PER,students
435,4504,4508,NOM,ORG,the Department of Social Services
360,4517,4517,NOM,PER,people
